"commune","type","infraction","code_reg","code_dep","lat","lng","ville_ref"
"Villers-Saint-Frambourg","P",46.8,22,"60",49.260726193,2.63465752752,"Senlis"
"Villers-Saint-Martin","P",25.520000000000003,43,"25",47.3422489797,6.40450092241,"Besançon"
"Villers-Sire-Nicole","P",22.02,31,"59",50.339831062,4.01339230045,"Avesnes-sur-Helpe"
"Villers-sous-Prény","P",23.21,41,"54",48.9430575567,5.99502891051,"Toul"
"Villers-sur-Bar","P",20.320000000000004,21,"08",49.6817820293,4.85514229057,"Sedan"
"Villers-sur-Meuse","P",17.150000000000002,41,"55",49.0229531601,5.40373990843,"Verdun"
"Villers-Tournelle","P",32.160000000000004,22,"80",49.6512167089,2.46394056647,"Montdidier"
"Villers-Vermont","P",29.380000000000003,22,"60",49.5743549353,1.7287833977,"Beauvais"
"Villerville","P",26.03,25,"14",49.3908763153,0.123148235679,"Deauville"
"Villesèquelande","P",24.24,91,"11",43.2329788288,2.23031885355,"Carcassonne"
"Villetelle","P",51.81,91,"34",43.7241089039,4.1368883121,"Lunel"
"Villeton","P",31.93,72,"47",44.3713219264,0.278872642453,"Marmande"
"Villette","P",38.209999999999994,11,"78",48.9262788706,1.69374172457,"Mantes-la-Jolie"
"Villettes","P",23.19,23,"27",49.1542620882,1.04564765622,"Louviers"
"Villevêque","P",22.850000000000005,52,"49",47.5486542844,-0.44694039674,"Angers"
"Villevieille","P",57.49,91,"30",43.7960985026,4.10074898591,"Vauvert"
"Villexavier","P",29.24,54,"17",45.3786120866,-0.439687126824,"Jonzac"
"Villiers","P",20.99,24,"36",46.8845013105,1.19883846025,"Blanc (Le)"
"Villiers-Charlemagne","P",20.209999999999997,52,"53",47.9250890496,-0.682830873383,"Château-Gontier"
"Villiers-en-Plaine","P",18.869999999999997,54,"79",46.4150506685,-0.536890888981,"Niort"
"Villiers-le-Bois","P",31.4,21,"10",47.9552225736,4.19042875753,"Rosières-près-Troyes"
"Villiers-le-Mahieu","P",33.65,11,"78",48.8533372475,1.77379972597,"Rambouillet"
"Villiers-le-Sec","P",14.799999999999999,21,"52",48.1017851333,5.07195698997,"Chaumont"
"Villiers-Saint-Denis","P",32.849999999999994,22,"02",48.9977206046,3.26104064101,"Château-Thierry"
"Villiers-sous-Mortagne","P",22.82,25,"61",48.5392056522,0.593084909404,"Mortagne-au-Perche"
"Villiers-sur-Chizé","P",18.869999999999997,54,"79",46.0980469832,-0.30373228125,"Niort"
"Villiers-sur-Seine","P",32.78,11,"77",48.4563743528,3.38301719826,"Provins"
