"Ville","CP","Adresse","Longitude","Latitude","Type","Effectif","superficie","population","noReg","noDept","gn2013","gd2013","pn2013"
"MANSLE","16230","Rue des Seigelas 16230 MANSLE",0.177464,45.871709,"G",,570.0,1.5,54,"16",426,251,280
"AIGRE","16140","22 Rue de la Gendarmerie 16140 AIGRE",0.009044,45.892409,"G",,654.0,1.1,54,"16",426,251,280
"RUFFEC","16700","15 Boulevard du G̩n̩ral Pinoteau 16700 RUFFEC",0.194452,46.029907,"G",,4309.0,0.6,24,"16",426,251,280
"RUFFEC","16700","15 Boulevard du G̩n̩ral Pinoteau 16700 RUFFEC",0.194452,46.029907,"G",,4309.0,0.6,24,"16",370,181,177
"RUFFEC","16700","15 Boulevard du G̩n̩ral Pinoteau 16700 RUFFEC",0.194452,46.029907,"G",,1353.0,3.6,54,"16",426,251,280
"MONTEMBOEUF","16310","Grande Rue 16310 MONTEMBOEUF",0.551856,45.776833,"G",,1605.0,0.7,54,"16",426,251,280
"CHABANAIS","16150","Route de Limoges 16150 CHABANAIS",0.731307,45.878914,"G",,1497.0,1.9,54,"16",426,251,280
"CONFOLENS","16500","1 Rue du pr̩ de l'̩tang 16500 CONFOLENS",0.653315,45.993068,"G",,1902.0,2.8,54,"16",426,251,280
"SEGONZAC","16130","9 Rue Millardet 16130 SEGONZAC",-0.21614,45.62001,"G",,397.0,0.2,72,"16",426,251,280
"SEGONZAC","16130","9 Rue Millardet 16130 SEGONZAC",-0.21614,45.62001,"G",,397.0,0.2,72,"16",596,365,804
"SEGONZAC","16130","9 Rue Millardet 16130 SEGONZAC",-0.21614,45.62001,"G",,3516.0,2.1,54,"16",426,251,280
"SEGONZAC","16130","9 Rue Millardet 16130 SEGONZAC",-0.21614,45.62001,"G",,1992.0,0.2,74,"16",426,251,280
"SEGONZAC","16130","9 Rue Millardet 16130 SEGONZAC",-0.21614,45.62001,"G",,1992.0,0.2,74,"16",420,228,236
"JARNAC","16200","24 Rue de Dogliani 16200 JARNAC",-0.169437,45.68296,"G",,1194.0,4.5,54,"16",426,251,280
"BROSSAC","16480","Rue de la Gendarmerie 16480 BROSSAC",-0.044051,45.330552,"G",,2186.0,0.5,54,"16",426,251,280
"MONTBRON","16220","Lieu-dit Chez Briquet 16220 MONTBRON",0.498265,45.662653,"G",,4308.0,2.2,54,"16",426,251,280
"MARTHON","16380","Terre-des-B̩gauds 16380 MARTHON",0.447342,45.615624,"G",,1283.0,0.6,54,"16",426,251,280
"CHALAIS","16210","43 Rue de Barbezieux 16210 CHALAIS",0.038023,45.271356,"G",,1487.0,0.5,54,"16",426,251,280
"CHALAIS","16210","43 Rue de Barbezieux 16210 CHALAIS",0.038023,45.271356,"G",,1487.0,0.5,54,"16",517,280,568
"CHALAIS","16210","43 Rue de Barbezieux 16210 CHALAIS",0.038023,45.271356,"G",,4005.0,0.2,24,"16",426,251,280
"CHALAIS","16210","43 Rue de Barbezieux 16210 CHALAIS",0.038023,45.271356,"G",,4005.0,0.2,24,"16",370,181,177
"CHALAIS","16210","43 Rue de Barbezieux 16210 CHALAIS",0.038023,45.271356,"G",,1914.0,0.5,72,"16",426,251,280
"CHALAIS","16210","43 Rue de Barbezieux 16210 CHALAIS",0.038023,45.271356,"G",,1914.0,0.5,72,"16",596,365,804
"CHALAIS","16210","43 Rue de Barbezieux 16210 CHALAIS",0.038023,45.271356,"G",,1769.0,1.9,54,"16",426,251,280
"LA TRIMOUILLE","86290","20 Rue de la R̩publique 86290 LA TRIMOUILLE",1.041905,46.461657,"G",,4206.0,1.0,54,"86",517,280,568
"CHAUVIGNY","86300","9 Rue Gilbert B̩caud 86300 CHAUVIGNY",0.645326,46.560885,"G",,9582.0,6.8,54,"86",517,280,568
"MONTMORILLON","86500","13 Avenue de l'Europe 86500 MONTMORILLON",0.860294,46.428692,"G",,5675.0,6.4,54,"86",517,280,568
"PLEUMARTIN","86450","16 Rue des Acacias 86450 PLEUMARTIN",0.763328,46.73841,"G",,2405.0,1.2,54,"86",517,280,568
"LES ORMES","86220","6 bis Rue Richelieu 86220 LES ORMES",0.605639,46.97067,"G",,2390.0,1.6,54,"86",517,280,568
"LES ORMES","86220","6 bis Rue Richelieu 86220 LES ORMES",0.605639,46.97067,"G",,859.0,0.3,26,"86",517,280,568
"LES ORMES","86220","6 bis Rue Richelieu 86220 LES ORMES",0.605639,46.97067,"G",,859.0,0.3,26,"86",587,321,573
"NAINTRE","86530","28 Avenue Pablo Picasso 86530 NAINTRE",0.492968,46.765886,"G",,2478.0,5.8,54,"86",517,280,568
"LOUDUN","86200","9 Avenue de la Gare 86200 LOUDUN",0.083538,47.013496,"G",,4392.0,7.1,54,"86",517,280,568
"LENCLOITRE","86140","27 Rue du Stade 86140 LENCLOITRE",0.332669,46.81915,"G",,1889.0,2.4,54,"86",517,280,568
"CHATELLERAULT","86100","5 Boulevard Aristide Briand 86100 CHATELLERAULT",0.540023,46.811774,"G",,5182.0,32.7,54,"86",517,280,568
"VOUILLE","86190","Carrefour de Beauregard 86190 VOUILLE",0.170132,46.647879,"G",,3446.0,3.5,54,"86",517,280,568
"VOUILLE","86190","Carrefour de Beauregard 86190 VOUILLE",0.170132,46.647879,"G",,2231.0,3.2,54,"86",441,257,198
"VOUILLE","86190","Carrefour de Beauregard 86190 VOUILLE",0.170132,46.647879,"G",,2231.0,3.2,54,"86",517,280,568
"VIVONNE","86370","1 Rue des Bergeronnettes 86370 VIVONNE",0.24983,46.413165,"G",,4159.0,3.2,54,"86",517,280,568
"MIREBEAU","86110","3 Place du Mail 86110 MIREBEAU",0.183524,46.790132,"G",,1374.0,2.2,54,"86",517,280,568
"LUSIGNAN","86600","Cit̩ de Puyberger 1 Rue d'Aquitaine 86600 LUSIGNAN",0.133333,46.439141,"G",,3790.0,2.6,54,"86",517,280,568
"GENCAY","86160","Route de Civray 86160 GENCAY",0.40623,46.366428,"G",,481.0,1.8,54,"86",517,280,568
"COUHE","86700","19 Avenue de Bordeaux 86700 COUHE",0.175874,46.288564,"G",,910.0,1.9,54,"86",517,280,568
"POITIERS","86000","Caserne Sous-lieutenant Fergeault 1 Rue du Petit Polygone 86000 POITIERS",0.355726,46.577407,"G",,4241.0,88.8,54,"86",517,280,568
"PUYOO","64270","Route Nationale 117 64270 PUYOO",-0.903652,43.536663,"G",,938.0,1.2,72,"64",700,389,1341
"ARTIX","64170","50 Avenue de la Gare 64170 ARTIX",-0.569228,43.394576,"G",,901.0,3.4,72,"64",700,389,1341
"ARTIX","64170","50 Avenue de la Gare 64170 ARTIX",-0.569228,43.394576,"G",,744.0,0.1,73,"64",340,190,126
"ARTIX","64170","50 Avenue de la Gare 64170 ARTIX",-0.569228,43.394576,"G",,744.0,0.1,73,"64",700,389,1341
"NAVARRENX","64190","Route du Faubourg 64190 NAVARRENX",-0.752866,43.320041,"G",,652.0,1.1,72,"64",700,389,1341
"MONEIN","64360","5 Avenue du Pont-Lat 64360 MONEIN",-0.573964,43.321504,"G",,8101.0,4.5,72,"64",700,389,1341
"LASSEUBE","64290","Route d'Oloron 64290 LASSEUBE",-0.485764,43.213209,"G",,4883.0,1.6,72,"64",700,389,1341
"LARUNS","64440","Avenue de la Gare 64440 LARUNS",-0.424248,42.988879,"G",,24881.0,1.3,72,"64",700,389,1341
"BEDOUS","64490","Avenue de la Gare 64490 BEDOUS",-0.602242,42.996205,"G",,1166.0,0.5,72,"64",700,389,1341
"ARUDY","64260","15 Avenue des Pyr̩n̩es 64260 ARUDY",-0.423408,43.103306,"G",,2833.0,2.3,72,"64",700,389,1341
"ARAMITS","64570","Route d'Arette 64570 ARAMITS",-0.72764,43.114715,"G",,2976.0,0.7,72,"64",700,389,1341
"IRISSARRY","64780","Le bourg 64780 IRISSARRY",-1.243818,43.262117,"G",,2658.0,0.9,72,"64",700,389,1341
"USTARITZ","64480","Route D̩partementale 932 64480 USTARITZ",-1.470844,43.408614,"G",,3267.0,6.0,72,"64",700,389,1341
"HASPARREN","64240","46 Rue de Navarre 64240 HASPARREN",-1.30038,43.386656,"G",,7748.0,6.1,72,"64",700,389,1341
"ESPELETTE","64250","15 Rue Karrika Nagusia 64250 ESPELETTE",-1.446531,43.340343,"G",,2730.0,2.0,72,"64",700,389,1341
"BIDACHE","64520","195 Route de Saint-Palais 64520 BIDACHE",-1.144376,43.480115,"G",,3021.0,1.3,72,"64",700,389,1341
"THEZE","64450","Avenue des Pyr̩n̩es 64450 THEZE",-0.349348,43.476254,"G",,1132.0,0.2,93,"64",431,223,133
"THEZE","64450","Avenue des Pyr̩n̩es 64450 THEZE",-0.349348,43.476254,"G",,1132.0,0.2,93,"64",700,389,1341
"THEZE","64450","Avenue des Pyr̩n̩es 64450 THEZE",-0.349348,43.476254,"G",,799.0,0.8,72,"64",700,389,1341
"SOUMOULOU","64420","C̫te de la Fontaine 64420 SOUMOULOU",-0.197882,43.26658,"G",,281.0,1.4,72,"64",700,389,1341
"PONTACQ","64530","48 Avenue Henri IV 64530 PONTACQ",-0.11992,43.195205,"G",,2899.0,2.8,72,"64",700,389,1341
"NAY","64800","6 Rue du Souvenir fran̤ais 64800 NAY",-0.256344,43.181576,"G",,253.0,0.1,25,"64",613,349,443
"NAY","64800","6 Rue du Souvenir fran̤ais 64800 NAY",-0.256344,43.181576,"G",,253.0,0.1,25,"64",700,389,1341
"NAY","64800","6 Rue du Souvenir fran̤ais 64800 NAY",-0.256344,43.181576,"G",,524.0,3.3,72,"64",700,389,1341
"MORLAAS","64160","Rue des Cordeliers 64160 MORLAAS",-0.265166,43.343284,"G",,1330.0,4.2,72,"64",700,389,1341
"LESCAR","64230","1 Avenue de l'Ousse 64230 LESCAR",-0.434467,43.336282,"G",,2651.0,9.8,72,"64",700,389,1341
"LEMBEYE","64350","24 Rue Joseph Peyr̩ 64350 LEMBEYE",-0.110474,43.451337,"G",,850.0,0.8,72,"64",700,389,1341
"GARLIN","64330","21 Chemin de Loumagne 64330 GARLIN",-0.276839,43.553247,"G",,1822.0,1.4,72,"64",700,389,1341
"GAN","64290","13 Rue Teul̬re 64290 GAN",-0.39028,43.231063,"G",,3947.0,5.4,72,"64",700,389,1341
"VILLEREAL","47210","Boulevard Plaisance 47210 VILLEREAL",0.738167,44.635872,"G",,1396.0,1.3,72,"47",492,276,431
"MONFLANQUIN","47150","Lotissement Clos-des-P̬res Route de Villeneuve 47150 MONFLANQUIN",0.759487,44.508555,"G",,6235.0,2.3,72,"47",492,276,431
"MONCLAR","47380","35 Rue Louis pons 47380 MONCLAR",0.51511,44.453911,"G",,1008.0,0.2,73,"47",342,205,82
"MONCLAR","47380","35 Rue Louis pons 47380 MONCLAR",0.51511,44.453911,"G",,1008.0,0.2,73,"47",492,276,431
"MONCLAR","47380","35 Rue Louis pons 47380 MONCLAR",0.51511,44.453911,"G",,2411.0,0.8,72,"47",492,276,431
"FUMEL","47500","8 Place Voltaire 47500 FUMEL",0.965381,44.500649,"G",,2278.0,5.2,72,"47",492,276,431
"CASTILLONNES","47330","2 Avenue de la R̩publique 47330 CASTILLONNES",0.591875,44.650499,"G",,1941.0,1.4,72,"47",492,276,431
"CANCON","47290","Lotissement Bibignie Rue Fernand Pouillon 47290 CANCON",0.627513,44.533184,"G",,2449.0,1.3,72,"47",492,276,431
"MEZIN","47170","Route de Condom 47170 MEZIN",0.265391,44.063878,"G",,3178.0,1.5,72,"47",492,276,431
"LAVARDAC","47230","26 All̩e des Alli̩s 47230 LAVARDAC",0.296599,44.178837,"G",,1522.0,2.3,72,"47",492,276,431
"HOUEILLES","47420","2 Chemin de Jautan 47420 HOUEILLES",0.035459,44.197751,"G",,6771.0,0.6,72,"47",492,276,431
"DAMAZAN","47160","Route de Buzet Clos-de-la-Mor 47160 DAMAZAN",0.275249,44.294672,"G",,1649.0,1.3,72,"47",492,276,431
"CASTELJALOUX","47700","25 Avenue de Marmande 47700 CASTELJALOUX",0.095283,44.322498,"G",,3073.0,4.8,72,"47",492,276,431
"TONNEINS","47400","56 bis Rue Gambetta 47400 TONNEINS",0.31084,44.391921,"G",,3478.0,9.1,72,"47",492,276,431
"SEYCHES","47350","Route de Miramont 47350 SEYCHES",0.29608,44.552061,"G",,2494.0,1.0,72,"47",492,276,431
"DURAS","47120","Route de Sainte-Foy-La-Grande 47120 DURAS",0.187602,44.677223,"G",,2009.0,1.2,72,"47",492,276,431
"COCUMONT","47250","13 Rue du Muscat de Hambourg 47250 COCUMONT",0.028915,44.451801,"G",,2539.0,1.0,72,"47",492,276,431
"BOUGLON","47250","Croix 47250 BOUGLON",0.098806,44.394842,"G",,1405.0,0.6,72,"47",492,276,431
"PUYMIROL","47270","42 Rue d'Orl̩ans 47270 PUYMIROL",0.797766,44.186856,"G",,1959.0,1.0,72,"47",492,276,431
"PRAYSSAS","47360","Avenue Emile Zola 47360 PRAYSSAS",0.519255,44.290382,"G",,2653.0,0.9,72,"47",492,276,431
"LAPLUME","47310","13 Route d'Agen 47310 LAPLUME",0.531468,44.11382,"G",,3282.0,1.4,72,"47",492,276,431
"BEAUVILLE","47470","Le bourg 47470 BEAUVILLE",0.896404,44.278582,"G",,613.0,0.1,73,"47",1151,692,2792
"BEAUVILLE","47470","Le bourg 47470 BEAUVILLE",0.896404,44.278582,"G",,613.0,0.1,73,"47",492,276,431
"BEAUVILLE","47470","Le bourg 47470 BEAUVILLE",0.896404,44.278582,"G",,2309.0,0.6,72,"47",492,276,431
"ASTAFFORT","47220","Fondragon 47220 ASTAFFORT",0.649071,44.058409,"G",,3544.0,2.1,72,"47",492,276,431
"AIGUILLON","47190","Rue Georges Sand 47190 AIGUILLON",0.342375,44.298432,"G",,2831.0,4.4,72,"47",492,276,431
"AGEN","47000","15 Rue Valence 47000 AGEN",0.613774,44.196596,"G",,1152.0,33.9,72,"47",492,276,431
"HAGETMAU","40700","Lotissement Bel-Horizon 74 Rue du Soleil 40700 HAGETMAU",-0.584871,43.65421,"G",,2839.0,4.5,72,"40",557,311,244
"GEAUNE","40320","20 Route des Pyr̩n̩es 40320 GEAUNE",-0.375411,43.637897,"G",,1059.0,0.7,72,"40",557,311,244
"SABRES","40630","Route de Mont-de-Marsan 40630 SABRES",-0.711809,44.13225,"G",,16225.0,1.2,72,"40",557,311,244
"SORE","40430","532 Boulevard de la Gare 40430 SORE",-0.572228,44.323429,"G",,14816.0,1.0,72,"40",557,311,244
"PISSOS","40410","376 Route de Mont-de-Marsan 40410 PISSOS",-0.777489,44.304427,"G",,14137.0,1.3,72,"40",557,311,244
"MORCENX","40110","2 Boulevard Victor Hugo 40110 MORCENX",-0.912178,44.033902,"G",,6194.0,4.6,72,"40",557,311,244
"LABOUHEYRE","40210","Quartier du Barrail 68 Route de Solf̩rino 40210 LABOUHEYRE",-0.915416,44.21281,"G",,3641.0,2.6,72,"40",557,311,244
"BISCARROSSE","40600","100 Avenue Henri Guillaumet 40600 BISCARROSSE",-1.16999,44.391268,"G",,19282.0,12.2,72,"40",557,311,244
"TARNOS","40220","17 Route Nationale 10 40220 TARNOS",-1.474101,43.548822,"G",,2740.0,11.8,72,"40",557,311,244
"SOUSTONS","40140","8 Passage Carrelot 40140 SOUSTONS",-1.330477,43.755699,"G",,10766.0,7.2,72,"40",557,311,244
"POUILLON","40350","475 Avenue de la Libert̩ 40350 POUILLON",-0.999268,43.603962,"G",,283.0,0.5,21,"40",557,311,244
"POUILLON","40350","475 Avenue de la Libert̩ 40350 POUILLON",-0.999268,43.603962,"G",,283.0,0.5,21,"40",571,330,1108
"POUILLON","40350","475 Avenue de la Libert̩ 40350 POUILLON",-0.999268,43.603962,"G",,4968.0,2.8,72,"40",557,311,244
"PEYREHORADE","40300","91 Avenue de Bourgfelden 40300 PEYREHORADE",-1.096554,43.54616,"G",,1625.0,3.5,72,"40",557,311,244
"CASTETS","40260","16 Rue des Gemmeurs 40260 CASTETS",-1.14083,43.889779,"G",,9122.0,1.9,72,"40",557,311,244
"CAPBRETON","40130","Place de la Gare 40130 CAPBRETON",-1.425921,43.640727,"G",,2136.0,7.9,72,"40",557,311,244
"TARTAS","40400","40 Rue Jean Jaur̬s 40400 TARTAS",-0.814196,43.831546,"G",,3038.0,3.0,72,"40",557,311,244
"ROQUEFORT","40120","49 Place Georges Lapios 40120 ROQUEFORT",-0.321492,44.035668,"G",,759.0,1.7,72,"40",557,311,244
"ROQUEFORT","40120","49 Place Georges Lapios 40120 ROQUEFORT",-0.321492,44.035668,"G",,759.0,1.7,72,"40",492,276,431
"ROQUEFORT","40120","49 Place Georges Lapios 40120 ROQUEFORT",-0.321492,44.035668,"G",,728.0,0.3,73,"40",342,205,82
"ROQUEFORT","40120","49 Place Georges Lapios 40120 ROQUEFORT",-0.321492,44.035668,"G",,728.0,0.3,73,"40",557,311,244
"ROQUEFORT","40120","49 Place Georges Lapios 40120 ROQUEFORT",-0.321492,44.035668,"G",,1204.0,1.9,72,"40",557,311,244
"MUGRON","40250","248 Route de Pomarez 40250 MUGRON",-0.765475,43.724556,"G",,1650.0,1.4,72,"40",557,311,244
"GABARRET","40310","Avenue de la Gare 40310 GABARRET",0.008492,43.99051,"G",,1690.0,1.3,72,"40",557,311,244
"AMOU","40330","154 Avenue de la Gare 40330 AMOU",-0.749861,43.591126,"G",,2771.0,1.6,72,"40",557,311,244
"BROCAS","40420","230 Route de l'̩tang 40420 BROCAS",-0.544201,44.042813,"G",,5328.0,0.8,72,"40",557,311,244
"MONTIGNAC","24290","Avenue Jean Jaur̬s 24290 MONTIGNAC",1.174884,45.064367,"G",,109.0,0.1,73,"24",596,365,804
"MONTIGNAC","24290","Avenue Jean Jaur̬s 24290 MONTIGNAC",1.174884,45.064367,"G",,109.0,0.1,73,"24",383,200,457
"MONTIGNAC","24290","Avenue Jean Jaur̬s 24290 MONTIGNAC",1.174884,45.064367,"G",,650.0,0.1,72,"24",596,365,804
"MONTIGNAC","24290","Avenue Jean Jaur̬s 24290 MONTIGNAC",1.174884,45.064367,"G",,650.0,0.1,72,"24",1377,824,3175
"MONTIGNAC","24290","Avenue Jean Jaur̬s 24290 MONTIGNAC",1.174884,45.064367,"G",,3619.0,2.9,72,"24",596,365,804
"DOMME","24250","Rue Pont-Carral 24250 DOMME",1.212534,44.803176,"G",,2479.0,1.0,72,"24",596,365,804
"CARLUX","24370","Le bourg 24370 CARLUX",1.361206,44.885323,"G",,1329.0,0.6,72,"24",596,365,804
"LE BUGUE","24260","Place Farge 24260 LE BUGUE",0.926915,44.922142,"G",,3024.0,2.8,72,"24",596,365,804
"BELVES","24170","Rue Tournehil 24170 BELVES",1.009103,44.776367,"G",,2439.0,1.4,72,"24",596,365,804
"VERTEILLAC","24320","Le Pontis 24320 VERTEILLAC",0.369403,45.353882,"G",,1849.0,0.6,72,"24",596,365,804
"NEUVIC","24190","29 Avenue du G̩n̩ral de Gaulle 24190 NEUVIC",0.473157,45.090232,"G",,7516.0,1.9,74,"24",420,228,236
"NEUVIC","24190","29 Avenue du G̩n̩ral de Gaulle 24190 NEUVIC",0.473157,45.090232,"G",,7516.0,1.9,74,"24",596,365,804
"NEUVIC","24190","29 Avenue du G̩n̩ral de Gaulle 24190 NEUVIC",0.473157,45.090232,"G",,2587.0,3.6,72,"24",596,365,804
"MUSSIDAN","24400","1 Rue des Fr̬res Arnaud 24400 MUSSIDAN",0.364237,45.036394,"G",,382.0,2.9,72,"24",596,365,804
"RIBERAC","24600","Rue Andr̩ Malraux 24600 RIBERAC",0.341119,45.242199,"G",,2264.0,4.1,72,"24",596,365,804
"LANOUAILLE","24270","44 Rue du P̩rigord 24270 LANOUAILLE",1.137381,45.387313,"G",,2443.0,1.0,72,"24",596,365,804
"THIVIERS","24800","10 Avenue Eug̬ne Le Roy 24800 THIVIERS",0.923115,45.419541,"G",,2866.0,3.1,72,"24",596,365,804
"MAREUIL","24340","31 Rue Andr̩ Pichon 24340 MAREUIL",0.438548,45.440695,"G",,1153.0,0.4,54,"24",426,251,280
"MAREUIL","24340","31 Rue Andr̩ Pichon 24340 MAREUIL",0.438548,45.440695,"G",,1153.0,0.4,54,"24",596,365,804
"MAREUIL","24340","31 Rue Andr̩ Pichon 24340 MAREUIL",0.438548,45.440695,"G",,2621.0,1.1,72,"24",596,365,804
"NONTRON","24300","6 Rue des Mątres des Forges 24300 NONTRON",0.667235,45.533051,"G",,2562.0,3.4,72,"24",596,365,804
"VILLAMBLARD","24140","5 Route de Saint-Jean d'Estissac 24140 VILLAMBLARD",0.540455,45.022635,"G",,2052.0,0.9,72,"24",596,365,804
"VELINES","24230","19 Rue du Lavoir 24230 VELINES",0.112297,44.857041,"G",,1070.0,1.1,72,"24",596,365,804
"SIGOULES","24240","3 Chemin du Vicary 24240 SIGOULES",0.409989,44.760237,"G",,1091.0,0.8,72,"24",596,365,804
"MONPAZIER","24540","Route de Belv̬s 24540 MONPAZIER",0.893998,44.680278,"G",,53.0,0.5,72,"24",596,365,804
"LALINDE","24150","20 Avenue du G̩n̩ral Leclerc 24150 LALINDE",0.74037,44.838603,"G",,2769.0,3.0,72,"24",596,365,804
"LA FORCE","24130","20 Rue du Docteur Clament 24130 LA FORCE",0.376425,44.867473,"G",,472.0,0.2,91,"24",588,309,580
"LA FORCE","24130","20 Rue du Docteur Clament 24130 LA FORCE",0.376425,44.867473,"G",,472.0,0.2,91,"24",596,365,804
"LA FORCE","24130","20 Rue du Docteur Clament 24130 LA FORCE",0.376425,44.867473,"G",,1561.0,2.5,72,"24",596,365,804
"ISSIGEAC","24560","Route de Mouleydier 24560 ISSIGEAC",0.606192,44.733467,"G",,926.0,0.6,72,"24",596,365,804
"EYMET","24500","Lieu-dit Bretou 24500 EYMET",0.399431,44.675226,"G",,3128.0,2.6,72,"24",596,365,804
"BERGERAC","24100","9 Avenue du Pr̩sident Wilson 24100 BERGERAC",0.489057,44.853981,"G",,5658.0,27.4,72,"24",596,365,804
"VERGT","24380","21 Rue du Ch̢teau-Vieux 24380 VERGT",0.717745,45.024691,"G",,3362.0,1.7,72,"24",596,365,804
"THENON","24210","Avenue de la Lib̩ration 24210 THENON",1.072754,45.140834,"G",,2695.0,1.3,72,"24",596,365,804
"HAUTEFORT","24390","Lieu-dit Saint-Agnan 24390 HAUTEFORT",1.126999,45.261736,"G",,2658.0,1.1,72,"24",596,365,804
"BRANTOME","24310","12 Avenue du Docteur Devillard 24310 BRANTOME",0.649615,45.361394,"G",,3620.0,2.1,72,"24",596,365,804
"PERIGUEUX","24000","Caserne Clech 58 Boulevard Bertran de Born 24000 PERIGUEUX",0.718798,45.179015,"G",,1014.0,29.3,72,"24",596,365,804
"RAUZAN","33420","16 Rue Peyrue 33420 RAUZAN",-0.124376,44.779592,"G",,639.0,1.1,72,"33",1377,824,3175
"LUSSAC","33570","Cours des Girondins 33570 LUSSAC",-0.097747,44.949941,"G",,1159.0,0.3,54,"33",426,251,280
"LUSSAC","33570","Cours des Girondins 33570 LUSSAC",-0.097747,44.949941,"G",,1159.0,0.3,54,"33",1377,824,3175
"LUSSAC","33570","Cours des Girondins 33570 LUSSAC",-0.097747,44.949941,"G",,177.0,0.1,54,"33",711,409,733
"LUSSAC","33570","Cours des Girondins 33570 LUSSAC",-0.097747,44.949941,"G",,177.0,0.1,54,"33",1377,824,3175
"LUSSAC","33570","Cours des Girondins 33570 LUSSAC",-0.097747,44.949941,"G",,2322.0,1.3,72,"33",1377,824,3175
"GENSAC","33890","13 Cours de la Viguerie 33890 GENSAC",0.071535,44.803385,"G",,932.0,0.9,72,"33",1377,824,3175
"GENSAC","33890","13 Cours de la Viguerie 33890 GENSAC",0.071535,44.803385,"G",,1164.0,0.1,73,"33",1377,824,3175
"GENSAC","33890","13 Cours de la Viguerie 33890 GENSAC",0.071535,44.803385,"G",,1164.0,0.1,73,"33",377,194,356
"GENSAC","33890","13 Cours de la Viguerie 33890 GENSAC",0.071535,44.803385,"G",,351.0,0.1,73,"33",1377,824,3175
"GENSAC","33890","13 Cours de la Viguerie 33890 GENSAC",0.071535,44.803385,"G",,351.0,0.1,73,"33",383,200,457
"COUTRAS","33230","52 Rue Robert Boulin 33230 COUTRAS",-0.128637,45.030263,"G",,3384.0,8.0,72,"33",1377,824,3175
"BRANNE","33420","32 Rue du Fort Bayard 33420 BRANNE",-0.18541,44.829052,"G",,650.0,0.2,43,"33",513,333,769
"BRANNE","33420","32 Rue du Fort Bayard 33420 BRANNE",-0.18541,44.829052,"G",,650.0,0.2,43,"33",1377,824,3175
"BRANNE","33420","32 Rue du Fort Bayard 33420 BRANNE",-0.18541,44.829052,"G",,243.0,1.3,72,"33",1377,824,3175
"PAUILLAC","33250","50 Rue du Mar̩chal Joffre 33250 PAUILLAC",-0.752727,45.203597,"G",,3130.0,5.1,72,"33",1377,824,3175
"CARCANS","33121","5 Route d'Hourtin 33121 CARCANS",-1.046005,45.08459,"G",,20137.0,2.2,72,"33",1377,824,3175
"VILLANDRAUT","33730","1 Rue du Vieux-Pont 33730 VILLANDRAUT",-0.367756,44.460428,"G",,1257.0,1.0,72,"33",1377,824,3175
"TARGON","33760","16 Rue de la Gendarmerie 33760 TARGON",-0.261418,44.727796,"G",,2600.0,1.9,72,"33",1377,824,3175
"LA REOLE","33190","1 bis Avenue de Mahon 33190 LA REOLE",-0.031352,44.583157,"G",,1258.0,4.3,72,"33",1377,824,3175
"PELLEGRUE","33790","16 Route de Duras 33790 PELLEGRUE",0.08021,44.741657,"G",,3806.0,1.0,72,"33",1377,824,3175
"MONSEGUR","33580","2 Avenue Porte-des-Tours 33580 MONSEGUR",0.085005,44.650594,"G",,1138.0,0.4,72,"33",1377,824,3175
"MONSEGUR","33580","2 Avenue Porte-des-Tours 33580 MONSEGUR",0.085005,44.650594,"G",,1138.0,0.4,72,"33",492,276,431
"MONSEGUR","33580","2 Avenue Porte-des-Tours 33580 MONSEGUR",0.085005,44.650594,"G",,1994.0,0.4,72,"33",1377,824,3175
"MONSEGUR","33580","2 Avenue Porte-des-Tours 33580 MONSEGUR",0.085005,44.650594,"G",,1994.0,0.4,72,"33",557,311,244
"MONSEGUR","33580","2 Avenue Porte-des-Tours 33580 MONSEGUR",0.085005,44.650594,"G",,278.0,0.1,72,"33",1377,824,3175
"MONSEGUR","33580","2 Avenue Porte-des-Tours 33580 MONSEGUR",0.085005,44.650594,"G",,278.0,0.1,72,"33",700,389,1341
"MONSEGUR","33580","2 Avenue Porte-des-Tours 33580 MONSEGUR",0.085005,44.650594,"G",,991.0,1.5,72,"33",1377,824,3175
"GRIGNOLS","33690","33 Route de Casteljaloux 33690 GRIGNOLS",-0.034302,44.381641,"G",,2107.0,0.6,72,"33",596,365,804
"GRIGNOLS","33690","33 Route de Casteljaloux 33690 GRIGNOLS",-0.034302,44.381641,"G",,2107.0,0.6,72,"33",1377,824,3175
"GRIGNOLS","33690","33 Route de Casteljaloux 33690 GRIGNOLS",-0.034302,44.381641,"G",,2274.0,1.1,72,"33",1377,824,3175
"CAPTIEUX","33840","54 Route de Bazas 33840 CAPTIEUX",-0.259094,44.296293,"G",,11999.0,1.4,72,"33",1377,824,3175
"BAZAS","33430","6 Avenue du G̩n̩ral Leclerc 33430 BAZAS",-0.216179,44.437928,"G",,3742.0,4.7,72,"33",1377,824,3175
"AUROS","33124","12 Rue Partarrieu 33124 AUROS",-0.143435,44.494029,"G",,1523.0,0.9,72,"33",1377,824,3175
"LANGON","33210","23 Rue Jules Ferry 33210 LANGON",-0.254563,44.547485,"G",,3651.0,1.4,53,"33",1377,824,3175
