CODGEO	REG	DEP	ARR	LIBGEO	P10_POP
02043	22	02	024	Bagneux	73
02044	22	02	025	Bancigny	28
02046	22	02	022	Barenton-Bugny	589
02047	22	02	022	Barenton-Cel	136
02048	22	02	022	Barenton-sur-Serre	115
02049	22	02	022	Barisis	723
02050	22	02	025	Barzy-en-Thiérache	306
02051	22	02	021	Barzy-sur-Marne	386
02052	22	02	022	Bassoles-Aulers	132
02053	22	02	021	Baulne-en-Brie	288
02054	22	02	024	Bazoches-sur-Vesles	457
02055	22	02	025	Beaumé	97
02056	22	02	022	Beaumont-en-Beine	161
02057	22	02	023	Beaurevoir	1512
02058	22	02	022	Beaurieux	793
02059	22	02	022	Beautor	2642
02060	22	02	023	Beauvois-en-Vermandois	278
02061	22	02	023	Becquigny	284
02062	22	02	021	Belleau	135
02063	22	02	023	Bellenglise	386
02064	22	02	024	Belleu	3881
02065	22	02	023	Bellicourt	636
02066	22	02	023	Benay	213
02067	22	02	025	Bergues-sur-Sambre	220
02068	22	02	025	Berlancourt	104
02069	22	02	022	Berlise	126
02070	22	02	025	Bernot	459
02071	22	02	024	Berny-Rivière	613
02072	22	02	022	Berrieux	177
02073	22	02	022	Berry-au-Bac	575
02074	22	02	022	Bertaucourt-Epourdon	610
02075	22	02	023	Berthenicourt	214
02076	22	02	022	Bertricourt	156
02077	22	02	024	Berzy-le-Sec	396
02078	22	02	022	Besmé	164
02079	22	02	025	Besmont	153
02080	22	02	022	Besny-et-Loizy	372
02081	22	02	022	Béthancourt-en-Vaux	420
02082	22	02	024	Beugneux	122
02083	22	02	021	Beuvardes	721
02084	22	02	021	Bézu-le-Guéry	259
02085	22	02	021	Bézu-Saint-Germain	959
02086	22	02	022	Bichancourt	1041
02087	22	02	024	Bieuxy	30
02088	22	02	022	Bièvres	73
02089	22	02	024	Billy-sur-Aisne	1081
02090	22	02	024	Billy-sur-Ourcq	215
02091	22	02	024	Blanzy-lès-Fismes	91
02093	22	02	022	Blérancourt	1262
02094	22	02	021	Blesmes	371
02095	22	02	023	Bohain-en-Vermandois	5976
02096	22	02	022	Bois-lès-Pargny	183
02097	22	02	022	Boncourt	250
02098	22	02	021	Bonneil	402
02099	22	02	021	Bonnesvalyn	242
02100	22	02	023	Bony	135
02101	22	02	022	Bosmont-sur-Serre	206
02102	22	02	022	Bouconville-Vauclair	181
02103	22	02	025	Boué	1265
02104	22	02	022	Bouffignereux	103
02105	22	02	021	Bouresches	203
02106	22	02	022	Bourg-et-Comin	754
02107	22	02	022	Bourguignon-sous-Coucy	91
02108	22	02	022	Bourguignon-sous-Montbavin	133
02109	22	02	025	La Bouteille	502
02110	22	02	024	Braine	2162
02111	22	02	022	Brancourt-en-Laonnois	677
02112	22	02	023	Brancourt-le-Grand	619
02114	22	02	021	Brasles	1318
02115	22	02	022	Braye-en-Laonnois	223
02116	22	02	025	Braye-en-Thiérache	139
02117	22	02	023	Bray-Saint-Christophe	80
02118	22	02	024	Braye	120
02119	22	02	021	Brécy	352
02120	22	02	024	Brenelle	199
02121	22	02	024	Breny	268
02122	22	02	022	Brie	59
02123	22	02	023	Brissay-Choigny	317
02124	22	02	023	Brissy-Hamégicourt	639
02125	22	02	021	Brumetz	222
02126	22	02	022	Brunehamel	538
02127	22	02	021	Bruyères-sur-Fère	206
02128	22	02	022	Bruyères-et-Montbérault	1576
02129	22	02	024	Bruys	19
02130	22	02	025	Bucilly	195
02131	22	02	024	Bucy-le-Long	1955
02132	22	02	022	Bucy-lès-Cerny	185
02133	22	02	022	Bucy-lès-Pierrepont	416
02134	22	02	025	Buire	884
02135	22	02	025	Buironfosse	1189
02136	22	02	025	Burelles	138
02137	22	02	021	Bussiares	122
02138	22	02	024	Buzancy	186
02139	22	02	022	Caillouël-Crépigny	420
02140	22	02	022	Camelin	442
02141	22	02	025	La Capelle	1853
02142	22	02	023	Castres	231
02143	22	02	023	Le Catelet	194
02144	22	02	023	Caulaincourt	136
02145	22	02	022	Caumont	562
02146	22	02	021	Celles-lès-Condé	74
02147	22	02	021	La Celle-sous-Montmirail	114
02148	22	02	024	Celles-sur-Aisne	256
02149	22	02	023	Cerizy	58
02150	22	02	022	Cerny-en-Laonnois	71
02151	22	02	022	Cerny-lès-Bucy	116
02152	22	02	024	Cerseuil	91
